ID, Text, Created_at, Link
737825671351795712,Donald Trump calls reporter a "sleaze"; has mogul reached a new level of media animosity? https://t.co/SuMYfDodT7 https://t.co/MQyxwod10R,2016-06-01 01:58:42 +0000, http://money.cnn.com/2016/05/31/media/donald-trump-reporter-sleaze/index.html?sr=twCNN060116donald-trump-reporter-sleaze0158AMVODtopPhoto&linkId=25054569
737824427145105409,RT @CNNPolitics: CNN rides along as an ICE team arrests undocumented immigrants https://t.co/VlgTw8qOKR https://t.co/XfuhQHZq16,2016-06-01 01:53:46 +0000, http://www.cnn.com/2016/05/31/politics/undocumented-immigrants-enforcement/index.html
737820322607583232,Former Oklahoma deputy gets 4-year sentence for mistaking gun for Taser https://t.co/A3VOB8bzj5 https://t.co/HxOCjoYb8s,2016-06-01 01:37:27 +0000, http://www.cnn.com/2016/05/31/us/oklahoma-deputy-robert-bates-sentenced-four-years/index.html?sr=twCNN060116oklahoma-deputy-robert-bates-sentenced-four-years0137AMVODtopPhoto&linkId=25054246
737819154208722944,Woman who filmed child being dragged by gorilla says child joked about going in enclosure https://t.co/zgSB4RLp7z https://t.co/2weL2BCOaY,2016-06-01 01:32:49 +0000, http://www.cnn.com/videos/us/2016/06/01/gorilla-drags-toddler-woman-films-intv.cnn?sr=twCNN060116gorilla-drags-toddler-woman-films-intv0132AMVideoPhoto&linkId=25054116
737815742364667904,RT @cnnireport: Flooding left parks submerged along the Brazos River in Texas. Video: @SydneyStavinoha https://t.co/bpwzDmpq2s https://t.co…,2016-06-01 01:19:15 +0000, http://www.cnn.com/2016/05/29/us/flooding-texas-kansas?sr=twiReport060116flooding-texas-kansas1245AMVODtopVideo&linkId=25053117
737814682719899649,Bill Kristol's white knight independent pres. candidate is conservative writer David French https://t.co/pvZO5SjGLl https://t.co/5OPco9SnsZ,2016-06-01 01:15:02 +0000, http://www.cnn.com/2016/05/31/politics/bill-kristol-david-french-independent-presidential-bid/index.html?sr=twCNN060116bill-kristol-david-french-independent-presidential-bid0114AMVODtopPhoto&linkId=25053820
737809387847340032,He fought the law, and the law won. So this man paid his traffic ticket with 22,000 pennies. https://t.co/asTdBhw6X5 https://t.co/OGM7dhRWt7,2016-06-01 00:54:00 +0000, http://www.cnn.com/2016/05/31/us/traffic-ticket-paid-with-buckets-of-pennies-trnd/index.html?sr=twCNN060116traffic-ticket-paid-with-buckets-of-pennies-trnd1254AMStoryPhoto&linkId=25053140
737808901412945920,RT @CNNgo: .@CNN follows @ICEgov on the hunt in #Chicago for undocumented immigrants convicted of crimes - WATCH @AC360 9p ET https://t.co/…,2016-06-01 00:52:04 +0000, http://smartlink.cnn.com/go
737808162229719041,Seven figure salaries, sold-out stadiums: Is pro video gaming a sport? https://t.co/itd5pHwMrI https://t.co/6qKJgAo9oD,2016-06-01 00:49:08 +0000, http://www.cnn.com/2016/05/31/sport/esports-is-professional-gaming-a-sport/index.html?sr=twCNN060116esports-is-professional-gaming-a-sport1249AMStoryLink&linkId=25053129
737807138773467136,Man who came up with Harambe's name says it can serve as a lesson for all of us https://t.co/BqWAhLDAhL @CNNOpinion https://t.co/tPWtnEjftR,2016-06-01 00:45:04 +0000, http://www.cnn.com/2016/05/31/opinions/harambe-death-meaning-coppenolle/index.html?sr=twCNN060116harambe-death-meaning-coppenolle1244AMVODtopPhoto&linkId=25053109
